	0	1
18	6666666.162460.1612 -> Glycolysis|10|Pyruvate_kinase_4|311079	gi|6666666.162460.1612|6666666.162460|pf01|Pyruvate_kinase_EC_2.7.1.40|Pseudomonasfluorescenspf01
19	6666666.296200.804 -> ALPHAKETOGLUTARATE_AMINOACIDS|12|Argininosuccinate_synthase_3|216821	gi|6666666.296200.804|6666666.296200|B51270|Argininosuccinate_synthase_EC_6.3.4.5|PseudomonasxinjiangensisNRRLB51270
20	6666666.135374.5827 -> ALPHAKETOGLUTARATE_AMINOACIDS|2|glutamate_dehydrogenase_3|311079	gi|6666666.135374.5827|6666666.135374|AZQQ01|NADPspecific_glutamate_dehydrogenase_EC_1.4.1.4|Pseudomonasmandeliipd30AZQQ01
21	6666666.135065.4394 -> polyketide|215|215_1|216817	gi|6666666.135065.4394|6666666.135065|JRMB01|5Enolpyruvylshikimate3phosphate_synthase_EC_2.5.1.19|PseudomonasluteaJRMB01
22	6666666.136532.2448 -> polyketide|215|215_1|216817	gi|6666666.136532.2448|6666666.136532|JXQT01|5Enolpyruvylshikimate3phosphate_synthase_EC_2.5.1.19|PseudomonassimiaeJXQT01
23	6666666.102113.3649 -> R5P_AMINOACIDS|10|histidinol_dehydrogenase_2|216821	gi|6666666.102113.3649|6666666.102113|NC_015556.1|Histidinol_dehydrogenase_EC_1.1.1.23|Pseudomonasfulva12XNC0155561
24	6666666.102156.4426 -> ALPHAKETOGLUTARATE_AMINOACIDS|3|Glutamine_synthetase_8|216821	gi|6666666.102156.4426|6666666.102156|NC_009439.1|glutamine_synthetase_family_protein|PseudomonasmendocinaympNC0094391
25	6666666.139455.1845 -> polyketide|215|215_1|216817	gi|6666666.139455.1845|6666666.139455|LCYW01|Cyclohexadienyl_dehydrogenase_EC_1.3.1.12EC_1.3.1.43__5Enolpyruvylshikimate3phosphate_synthase_EC_2.5.1.19|PseudomonasfluorescensLCYW01
26	6666666.135193.4816 -> ALPHAKETOGLUTARATE_AMINOACIDS|8|N_acetyl_gamma_glutamyl_phosphate_reductase_3|311079	gi|6666666.135193.4816|6666666.135193|JTFL01|Nacetylgammaglutamylphosphate_reductase_EC_1.2.1.38|PseudomonaspseudoalcaligenesJTFL01
27	6666666.135447.3838 -> ALPHAKETOGLUTARATE_AMINOACIDS|3|Glutamine_synthetase_8|216821	gi|6666666.135447.3838|6666666.135447|AUED01|glutamine_synthetase_family_protein|Pseudomonasvranovensisdsm16006AUED01
28	6666666.135024.218 -> OXALACETATE_AMINOACIDS|8|dihydropicolinate_synthase_4|216821	gi|6666666.135024.218|6666666.135024|ANGB01|4hydroxytetrahydrodipicolinate_synthase_EC_4.3.3.7|Pseudomonasalcaliphila34ANGB01
29	6666666.136574.1686 -> ALPHAKETOGLUTARATE_AMINOACIDS|1|Glutamine_2_oxoglutarate_aminotransferase_1|216817	gi|6666666.136574.1686|6666666.136574|ATKI01|Glutamate_synthase_NADPH_small_chain_EC_1.4.1.13|Pseudomonascorrugatacfbp5454ATKI01
30	6666666.296212.446 -> 3PGA_AMINOACIDS|4|glycine_hydroxymethyltransferase_2|216821	gi|6666666.296212.446|6666666.296212|29606|Serine_hydroxymethyltransferase_EC_2.1.2.1|PseudomonasflexibilisATCC29606
31	6666666.136744.4518 -> ALPHAKETOGLUTARATE_AMINOACIDS|9|Acetylornithine_aminotransferase_4|216821	gi|6666666.136744.4518|6666666.136744|AYTM02|Acetylornithine_aminotransferase_EC_2.6.1.11|Pseudomonassyringaekctc12500AYTM02
32	6666666.102186.213 -> TCA|12|fumarate_hydratase_7|300442	gi|6666666.102186.213|6666666.102186|NC_020209|Fumarate_hydratase_class_II_EC_4.2.1.2|PseudomonaspoaeRE*1114NC020209
33	6666666.94968.4036 -> R5P_AMINOACIDS|6|imidazole_glycerol_phosphate_synthase_H_3|300442	gi|6666666.94968.4036|6666666.94968|B12|Imidazole_glycerol_phosphate_synthase_amidotransferase_subunit_EC_2.4.2.|PseudomonasspB12
34	6666666.296223.3794 -> ALPHAKETOGLUTARATE_AMINOACIDS|2|glutamate_dehydrogenase_3|311079	gi|6666666.296223.3794|6666666.296223|8628|Leucine_dehydrogenase_EC_1.4.1.9|PseudomonasbenzenivoransDSM8628
35	6666666.296364.1464 -> TCA|11|fumarate_reductase_ironsulfur_subunit_2|216821	gi|6666666.296364.1464|6666666.296364|18415|Succinate_dehydrogenase_ironsulfur_protein_EC_1.3.99.1|PseudomonasformosensisJCM18415
36	6666666.136644.450 -> E4P_AMINO_ACIDS|19|phosphoribosylanthranilate_isomerase_2|300442	gi|6666666.136644.450|6666666.136644|JVFY01|Phosphoribosylanthranilate_isomerase_EC_5.3.1.24|PseudomonasdenitrificansJVFY01
37	6666666.102117.3610 -> OXALACETATE_AMINOACIDS|8|dihydropicolinate_synthase_1|216821	gi|6666666.102117.3610|6666666.102117|ARIW01|1pyrroline4hydroxy2carboxylate_deaminase_EC_3.5.4.22|Pseudomonasumsongensis20MFCvi11ARIW01
38	6666666.102142.4821 -> TCA|12|fumarate_hydratase_9|300442	gi|6666666.102142.4821|6666666.102142|AYUD01|Fumarate_hydratase_class_II_EC_4.2.1.2|PseudomonaschlororaphissubspaurantiacaPBSt2AYUD01
39	6666666.102118.580 -> ALPHAKETOGLUTARATE_AMINOACIDS|11|Ornithine_carbamoyltransferase_5|311079	gi|6666666.102118.580|6666666.102118|AUEB01|Ornithine_carbamoyltransferase_EC_2.1.3.3|PseudomonasparafulvaDSM17004AUEB01
40	6666666.102117.5295 -> polyketide|215|215_1|216817	gi|6666666.102117.5295|6666666.102117|ARIW01|Cyclohexadienyl_dehydrogenase_EC_1.3.1.12EC_1.3.1.43__5Enolpyruvylshikimate3phosphate_synthase_EC_2.5.1.19|Pseudomonasumsongensis20MFCvi11ARIW01
41	6666666.138932.3483 -> E4P_AMINO_ACIDS|11|Indole3glycerol_phosphate_synthase_1|216817	gi|6666666.138932.3483|6666666.138932|ATDJ01|Indole3glycerol_phosphate_synthase_EC_4.1.1.48|PseudomonassyringaepvTheaencppb2598ATDJ01
42	6666666.136556.2881 -> ALPHAKETOGLUTARATE_AMINOACIDS|9|Acetylornithine_aminotransferase_2|300442	gi|6666666.136556.2881|6666666.136556|LAWW01|Succinylornithine_transaminase_EC_2.6.1.81|PseudomonasparafulvaLAWW01
43	6666666.135094.3337 -> TCA|12|fumarate_hydratase_7|300442	gi|6666666.135094.3337|6666666.135094|JYKY01|Fumarate_hydratase_class_II_EC_4.2.1.2|PseudomonaslundensisJYKY01
44	6666666.102136.5431 -> R5P_AMINOACIDS|6|imidazole_glycerol_phosphate_synthase_H_1|216817	gi|6666666.102136.5431|6666666.102136|NC_004578.1|Imidazole_glycerol_phosphate_synthase_amidotransferase_subunit_EC_2.4.2.|PseudomonassyringaepvtomatostrDC3000NC0045781
45	6666666.296366.1323 -> polyketide|215|215_1|216817	gi|6666666.296366.1323|6666666.296366|15471|Cyclohexadienyl_dehydrogenase_EC_1.3.1.12EC_1.3.1.43__5Enolpyruvylshikimate3phosphate_synthase_EC_2.5.1.19|PseudomonaszeshuiiKACC15471
46	6666666.136532.1862 -> R5P_AMINOACIDS|10|histidinol_dehydrogenase_4|311079	gi|6666666.136532.1862|6666666.136532|JXQT01|Histidinol_dehydrogenase_EC_1.1.1.23|PseudomonassimiaeJXQT01
47	6666666.135168.77 -> PYR_THR_AA|10|3isopropylmalate_dehydrogenase_2|311079	gi|6666666.135168.77|6666666.135168|CTFI01|3isopropylmalate_dehydrogenase_EC_1.1.1.85|PseudomonasaeruginosaCTFI01
48	6666666.135065.4580 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_5|216817	gi|6666666.135065.4580|6666666.135065|JRMB01|Cysteine_synthase_B_EC_2.5.1.47|PseudomonasluteaJRMB01
49	6666666.296207.987 -> E4P_AMINO_ACIDS|12|Tryptophan_synthase_alpha_4|311079	gi|6666666.296207.987|6666666.296207|CCTCC2012022|Tryptophan_synthase_alpha_chain_EC_4.2.1.20|PseudomonasguangdongensisCCTCC2012022
50	6666666.135023.1214 -> ALPHAKETOGLUTARATE_AMINOACIDS|2|glutamate_dehydrogenase_2|300442	gi|6666666.135023.1214|6666666.135023|JYLB01|Leucine_dehydrogenase_EC_1.4.1.9|PseudomonasliniJYLB01
51	6666666.102143.3743 -> ALPHAKETOGLUTARATE_AMINOACIDS|15|glutamate_synthase_2|216821	gi|6666666.102143.3743|6666666.102143|NC_018028.1|Glutamate_synthase_NADPH_large_chain_EC_1.4.1.13|PseudomonasstutzeriCCUG29243NC0180281
52	6666666.136667.2453 -> OXALACETATE_AMINOACIDS|7|Threonine_synthase_2|300442	gi|6666666.136667.2453|6666666.136667|LFMQ01|Threonine_synthase_EC_4.2.3.1|PseudomonasaeruginosaLFMQ01
53	6666666.135143.3479 -> 3PGA_AMINOACIDS|4|glycine_hydroxymethyltransferase_5|216817	gi|6666666.135143.3479|6666666.135143|JYHI01|Serine_hydroxymethyltransferase_EC_2.1.2.1|PseudomonassyringaepvPapulansJYHI01
54	6666666.136568.2192 -> PYR_THR_AA|5|Dihydroxiacid_dehydratase_1|216817	gi|6666666.136568.2192|6666666.136568|JYLA01|Dihydroxyacid_dehydratase_EC_4.2.1.9|PseudomonastaetrolensJYLA01
55	6666666.102099.3528 -> R5P_AMINOACIDS|10|histidinol_dehydrogenase_3|300442	gi|6666666.102099.3528|6666666.102099|JHYV01|Histidinol_dehydrogenase_EC_1.1.1.23|PseudomonasmonteiliiNBRC103158=DSM14164JHYV01
56	6666666.136607.280 -> ALPHAKETOGLUTARATE_AMINOACIDS|11|Ornithine_carbamoyltransferase_5|311079	gi|6666666.136607.280|6666666.136607|ASJX01|Ornithine_carbamoyltransferase_EC_2.1.3.3|Pseudomonasplecoglossicidanb2011ASJX01
57	6666666.135116.381 -> ALPHAKETOGLUTARATE_AMINOACIDS|3|Glutamine_synthetase_11|216821	gi|6666666.135116.381|6666666.135116|JNHE01|Glutamine_synthetase_type_I_EC_6.3.1.2|PseudomonasoleovoransJNHE01
58	6666666.134718.3740 -> ALPHAKETOGLUTARATE_AMINOACIDS|6|Pyrroline_5_carboxylate_reductase_3|311079	gi|6666666.134718.3740|6666666.134718|AHIP01|Pyrroline5carboxylate_reductase_EC_1.5.1.2|Pseudomonasextremaustralis143substr143bAHIP01
59	6666666.102116.3405 -> OXALACETATE_AMINOACIDS|8|dihydropicolinate_synthase_1|216821	gi|6666666.102116.3405|6666666.102116|NC_015379.1|1pyrroline4hydroxy2carboxylate_deaminase_EC_3.5.4.22|PseudomonasbrassicacearumsubspbrassicacearumNFM421NC0153791
60	6666666.135024.4047 -> OXALACETATE_AMINOACIDS|1|Aspartate_transaminase_5|300442	gi|6666666.135024.4047|6666666.135024|ANGB01|Valinepyruvate_aminotransferase_EC_2.6.1.66|Pseudomonasalcaliphila34ANGB01
61	6666666.135136.1349 -> Glycolysis|10|Pyruvate_kinase_1|216817	gi|6666666.135136.1349|6666666.135136|AWUI01|Pyruvate_kinase_EC_2.7.1.40|PseudomonassyringaepvAtrofaciensstrDsm50255AWUI01
62	6666666.102095.4205 -> PYR_THR_AA|4|Ketoacid_reductoisomerase_4|311079	gi|6666666.102095.4205|6666666.102095|NC_020829|Ketolacid_reductoisomerase_EC_1.1.1.86|PseudomonasdenitrificansATCC13867NC020829
63	6666666.138932.159 -> ALPHAKETOGLUTARATE_AMINOACIDS|9|Acetylornithine_aminotransferase_1|216817	gi|6666666.138932.159|6666666.138932|ATDJ01|Succinylornithine_transaminase_EC_2.6.1.81|PseudomonassyringaepvTheaencppb2598ATDJ01
64	6666666.102104.4815 -> 3PGA_AMINOACIDS|4|glycine_hydroxymethyltransferase_4|311079	gi|6666666.102104.4815|6666666.102104|NC_002516.2|Serine_hydroxymethyltransferase_EC_2.1.2.1|PseudomonasaeruginosaPAO1NC0025162
65	6666666.162465.4834 -> ALPHAKETOGLUTARATE_AMINOACIDS|8|N_acetyl_gamma_glutamyl_phosphate_reductase_3|311079	gi|6666666.162465.4834|6666666.162465|RIT288|Nacetylgammaglutamylphosphate_reductase_EC_1.2.1.38|PseudomonasspRIT288
66	6666666.135024.3324 -> E4P_AMINO_ACIDS|12|Tryptophan_synthase_alpha_2|216821	gi|6666666.135024.3324|6666666.135024|ANGB01|Tryptophan_synthase_alpha_chain_EC_4.2.1.20|Pseudomonasalcaliphila34ANGB01
67	6666666.135014.1332 -> E4P_AMINO_ACIDS|8|Anthranilate_synthase_component_1_2|216821	gi|6666666.135014.1332|6666666.135014|BBQO01|Anthranilate_synthase_aminase_component_EC_4.1.3.27|PseudomonastoyotomiensisBBQO01
68	6666666.102205.731 -> TCA|12|fumarate_hydratase_7|300442	gi|6666666.102205.731|6666666.102205|16299|Fumarate_hydratase_class_II_EC_4.2.1.2|PseudomonasrhizosphaeraeDSM16299
69	6666666.135039.1103 -> ALPHAKETOGLUTARATE_AMINOACIDS|8|N_acetyl_gamma_glutamyl_phosphate_reductase_3|311079	gi|6666666.135039.1103|6666666.135039|JYKZ01|Nacetylgammaglutamylphosphate_reductase_EC_1.2.1.38|PseudomonaspsychrophilaJYKZ01
70	6666666.135024.3542 -> calcium-dependent-antibiotic|26|26_2|216821	gi|6666666.135024.3542|6666666.135024|ANGB01|Anthranilate_synthase_amidotransferase_component_EC_4.1.3.27_@_Paraaminobenzoate_synthase_amidotransferase_component_EC_2.6.1.85|Pseudomonasalcaliphila34ANGB01
71	6666666.102116.161 -> E4P_AMINO_ACIDS|12|Tryptophan_synthase_alpha_4|311079	gi|6666666.102116.161|6666666.102116|NC_015379.1|Tryptophan_synthase_alpha_chain_EC_4.2.1.20|PseudomonasbrassicacearumsubspbrassicacearumNFM421NC0153791
72	6666666.296200.3131 -> R5P_AMINOACIDS|6|imidazole_glycerol_phosphate_synthase_H_4|311079	gi|6666666.296200.3131|6666666.296200|B51270|Imidazole_glycerol_phosphate_synthase_amidotransferase_subunit_EC_2.4.2.|PseudomonasxinjiangensisNRRLB51270
73	6666666.135193.4359 -> ALPHAKETOGLUTARATE_AMINOACIDS|6|Pyrroline_5_carboxylate_reductase_2|300442	gi|6666666.135193.4359|6666666.135193|JTFL01|Pyrroline5carboxylate_reductase_EC_1.5.1.2|PseudomonaspseudoalcaligenesJTFL01
74	6666666.135259.2883 -> ALPHAKETOGLUTARATE_AMINOACIDS|7|Acetylglutamate_kinase_2|216821	gi|6666666.135259.2883|6666666.135259|AQPA01|Acetylglutamate_kinase_EC_2.7.2.8|Pseudomonasthermotoleransdsm14292AQPA01
75	6666666.102143.1823 -> ALPHAKETOGLUTARATE_AMINOACIDS|9|Acetylornithine_aminotransferase_2|300442	gi|6666666.102143.1823|6666666.102143|NC_018028.1|Succinylornithine_transaminase_EC_2.6.1.81|PseudomonasstutzeriCCUG29243NC0180281
76	6666666.136550.4380 -> ALPHAKETOGLUTARATE_AMINOACIDS|15|glutamate_synthase_2|216821	gi|6666666.136550.4380|6666666.136550|AWSQ01|Glutamate_synthase_NADPH_large_chain_EC_1.4.1.13|Pseudomonastaeanensisms3AWSQ01
77	6666666.102113.3906 -> R5P_AMINOACIDS|6|imidazole_glycerol_phosphate_synthase_H_2|216821	gi|6666666.102113.3906|6666666.102113|NC_015556.1|Imidazole_glycerol_phosphate_synthase_amidotransferase_subunit_EC_2.4.2.|Pseudomonasfulva12XNC0155561
78	6666666.102101.918 -> ALPHAKETOGLUTARATE_AMINOACIDS|5|Glutamate_5_semialdehyde_dehydrogenase_2|216821	gi|6666666.102101.918|6666666.102101|AMCZ02|Gammaglutamyl_phosphate_reductase_EC_1.2.1.41|PseudomonasstutzeriKOS6AMCZ02
79	6666666.136315.2512 -> ALPHAKETOGLUTARATE_AMINOACIDS|1|Glutamine_2_oxoglutarate_aminotransferase_1|216817	gi|6666666.136315.2512|6666666.136315|AHZY01|Glutamate_synthase_NADPH_small_chain_EC_1.4.1.13|Pseudomonasfragia22AHZY01
80	6666666.102142.4941 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_7|300442	gi|6666666.102142.4941|6666666.102142|AYUD01|Cysteine_synthase_B_EC_2.5.1.47|PseudomonaschlororaphissubspaurantiacaPBSt2AYUD01
81	6666666.102201.4217 -> TCA|1|Citrate_synthase_4|311079	gi|6666666.102201.4217|6666666.102201|NZ_CP007410.1|Citrate_synthase_si_EC_2.3.3.1|PseudomonasbrassicacearumNZCP0074101
82	6666666.102186.4445 -> R5P_AMINOACIDS|5|phosphoribosyl_isomerase_A_3|311079	gi|6666666.102186.4445|6666666.102186|NC_020209|Phosphoribosylformimino5aminoimidazole_carboxamide_ribotide_isomerase_EC_5.3.1.16|PseudomonaspoaeRE*1114NC020209
83	6666666.135530.1546 -> OXALACETATE_AMINOACIDS|19|argininosuccinate_lyase_3|300442	gi|6666666.135530.1546|6666666.135530|AXXQ01|Argininosuccinate_lyase_EC_4.3.2.1|PseudomonasspUril14hwk12i4AXXQ01
84	6666666.136477.4364 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_3|300442	gi|6666666.136477.4364|6666666.136477|JZXC01|Cysteine_synthase_EC_2.5.1.47|PseudomonaskilonensisJZXC01
85	6666666.136616.3007 -> OXALACETATE_AMINOACIDS|7|Threonine_synthase_2|300442	gi|6666666.136616.3007|6666666.136616|JOVT01|Threonine_synthase_EC_4.2.3.1|PseudomonasmendocinaJOVT01
86	6666666.136612.1454 -> OXALACETATE_AMINOACIDS|8|dihydropicolinate_synthase_4|216821	gi|6666666.136612.1454|6666666.136612|ALKM01|4hydroxytetrahydrodipicolinate_synthase_EC_4.3.3.7|PseudomonasmendocinadlhkALKM01
87	6666666.102204.6063 -> PYR_THR_AA|5|Dihydroxiacid_dehydratase_4|311079	gi|6666666.102204.6063|6666666.102204|NZ_CP008696.1|Dihydroxyacid_dehydratase_EC_4.2.1.9|PseudomonaschlororaphisNZCP0086961
88	6666666.102136.3981 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_1|216817	gi|6666666.102136.3981|6666666.102136|NC_004578.1|Cysteine_synthase_EC_2.5.1.47|PseudomonassyringaepvtomatostrDC3000NC0045781
89	6666666.136477.4125 -> 3PGA_AMINOACIDS|4|glycine_hydroxymethyltransferase_3|300442	gi|6666666.136477.4125|6666666.136477|JZXC01|Serine_hydroxymethyltransferase_EC_2.1.2.1|PseudomonaskilonensisJZXC01
90	6666666.296230.754 -> ALPHAKETOGLUTARATE_AMINOACIDS|3|Glutamine_synthetase_8|216821	gi|6666666.296230.754|6666666.296230|24213|glutamine_synthetase_family_protein|PseudomonasyangmingensisDSM24213
91	6666666.134953.3365 -> OXALACETATE_AMINOACIDS|19|argininosuccinate_lyase_3|300442	gi|6666666.134953.3365|6666666.134953|AKCL01|Argininosuccinate_lyase_EC_4.3.2.1|Pseudomonasputidasjte1AKCL01
92	6666666.135157.2569 -> ALPHAKETOGLUTARATE_AMINOACIDS|19|N_acetylglutamate_synthase_3|311079	gi|6666666.135157.2569|6666666.135157|ATXQ01|Glutamate_Nacetyltransferase_EC_2.3.1.35__Nacetylglutamate_synthase_EC_2.3.1.1|Pseudomonascaenidsm24390ATXQ01
93	6666666.139014.4789 -> PYR_THR_AA|5|Dihydroxiacid_dehydratase_3|300442	gi|6666666.139014.4789|6666666.139014|AZOC01|Dihydroxyacid_dehydratase_EC_4.2.1.9|Pseudomonasbrassicacearum51mfcvi21AZOC01
94	6666666.135055.1328 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_3|300442	gi|6666666.135055.1328|6666666.135055|JYKX01|Cysteine_synthase_EC_2.5.1.47|PseudomonasdeceptionensisJYKX01
95	6666666.138909.458 -> TCA|11|fumarate_reductase_ironsulfur_subunit_1|216817	gi|6666666.138909.458|6666666.138909|AUZR02|Succinate_dehydrogenase_ironsulfur_protein_EC_1.3.99.1|PseudomonassyringaepvPisistrPp1AUZR02
96	6666666.94978.2239 -> 3PGA_AMINOACIDS|4|glycine_hydroxymethyltransferase_4|311079	gi|6666666.94978.2239|6666666.94978|B14|Serine_hydroxymethyltransferase_EC_2.1.2.1|PseudomonasspB14
97	6666666.134944.196 -> PYR_THR_AA|4|Ketoacid_reductoisomerase_4|311079	gi|6666666.134944.196|6666666.134944|CCYE01|Ketolacid_reductoisomerase_EC_1.1.1.86|PseudomonasxanthomarinaCCYE01
98	6666666.102116.4601 -> ALPHAKETOGLUTARATE_AMINOACIDS|9|Acetylornithine_aminotransferase_2|300442	gi|6666666.102116.4601|6666666.102116|NC_015379.1|Succinylornithine_transaminase_EC_2.6.1.81|PseudomonasbrassicacearumsubspbrassicacearumNFM421NC0153791
99	6666666.94978.3699 -> TCA|11|fumarate_reductase_ironsulfur_subunit_3|300442	gi|6666666.94978.3699|6666666.94978|B14|Succinate_dehydrogenase_ironsulfur_protein_EC_1.3.99.1|PseudomonasspB14
100	6666666.162465.2011 -> PYR_THR_AA|3|Acetolactate_synthase_large_subunit_2|311079	gi|6666666.162465.2011|6666666.162465|RIT288|Acetolactate_synthase_large_subunit_EC_2.2.1.6|PseudomonasspRIT288
101	6666666.296230.698 -> ALPHAKETOGLUTARATE_AMINOACIDS|1|Glutamine_2_oxoglutarate_aminotransferase_1|216817	gi|6666666.296230.698|6666666.296230|24213|Glutamate_synthase_NADPH_small_chain_EC_1.4.1.13|PseudomonasyangmingensisDSM24213
102	6666666.136556.4552 -> E4P_AMINO_ACIDS|8|Anthranilate_synthase_component_1_4|311079	gi|6666666.136556.4552|6666666.136556|LAWW01|Anthranilate_synthase_aminase_component_EC_4.1.3.27|PseudomonasparafulvaLAWW01
103	6666666.134879.5285 -> TCA|12|fumarate_hydratase_5|216817	gi|6666666.134879.5285|6666666.134879|JRRA01|Fumarate_hydratase_class_II_EC_4.2.1.2|PseudomonassyringaepvTomatoJRRA01
104	6666666.296198.741 -> ALPHAKETOGLUTARATE_AMINOACIDS|8|N_acetyl_gamma_glutamyl_phosphate_reductase_2|300442	gi|6666666.296198.741|6666666.296198|SJTE3|Nacetylgammaglutamylphosphate_reductase_EC_1.2.1.38|PseudomonascitronellolisSJTE3
105	6666666.134751.2035 -> E4P_AMINO_ACIDS|12|Tryptophan_synthase_alpha_4|311079	gi|6666666.134751.2035|6666666.134751|JBON01|Tryptophan_synthase_alpha_chain_EC_4.2.1.20|PseudomonasbrassicacearumJBON01
106	6666666.134964.4051 -> E4P_AMINO_ACIDS|9|Anthranilate_phosphoribosyltransferase_1|216821	gi|6666666.134964.4051|6666666.134964|JYHV01|Anthranilate_phosphoribosyltransferase_EC_2.4.2.18|PseudomonasstutzeriJYHV01
107	6666666.94942.2246 -> Glycolysis|10|Pyruvate_kinase_3|300442	gi|6666666.94942.2246|6666666.94942|81|Pyruvate_kinase_EC_2.7.1.40|pseudomonassp81
108	6666666.138930.359 -> R5P_AMINOACIDS|7|imidazoleglycerol_phosphate_dehydratase_1|216817	gi|6666666.138930.359|6666666.138930|ATDK01|Imidazoleglycerolphosphate_dehydratase_EC_4.2.1.19|Pseudomonasavellanaebpic631ATDK01
109	6666666.102116.1428 -> OXALACETATE_AMINOACIDS|8|dihydropicolinate_synthase_4|216821	gi|6666666.102116.1428|6666666.102116|NC_015379.1|4hydroxytetrahydrodipicolinate_synthase_EC_4.3.3.7|PseudomonasbrassicacearumsubspbrassicacearumNFM421NC0153791
